district_name,year,population,housing,housing_per_1000,housing_yoy_pct,population_yoy_pct,delta_growth
Bragança,1950,227125,93870,413.2966428178316,26.7725467952354,6.514939057275382,20.25760773796001
Bragança,1960,230266,107568,467.14669121798266,14.592521572387351,1.3829389102916867,13.209582662095665
Bragança,1981,181375,66117,364.5320468642316,-38.53469433288711,-21.232400788653127,-17.30229354423398
Bragança,1991,157809,74765,473.7689231919599,13.07984330807508,-12.992970365265332,26.072813673340413
Bragança,2001,148163,82067,553.8967218536342,9.766602019661596,-6.112452394983814,15.879054414645411
Bragança,2011,134780,84325,625.6492061136667,2.751410432938939,-9.03261947989714,11.78402991283608
Bragança,2021,122452,85576,698.8534282821024,1.4835458049214267,-9.146757679180883,10.63030348410231
Castelo Branco,1940,299670,117112,390.8032168718924,,,
Castelo Branco,1950,320279,139348,435.0831618682461,18.986952660700872,6.877231621450264,12.109721039250608
Castelo Branco,1960,310745,173163,557.2511223028528,24.266584378677837,-2.976779620268577,27.24336399894641
Castelo Branco,1981,232967,97932,420.3685500521533,-43.44519325722007,-25.029525816988208,-18.41566744023186
Castelo Branco,1991,214853,103614,482.2553094441316,5.80198505085161,-7.775350156889171,13.57733520774078
Castelo Branco,2001,207485,106476,513.174446345519,2.762174995656963,-3.42932144303314,6.191496438690103
Castelo Branco,2011,194541,114470,588.4106692162577,7.507795183891197,-6.238523266742169,13.746318450633366
Castelo Branco,2021,178664,116715,653.2653472439888,1.9612125447715512,-8.16126163636457,10.12247418113612
Coimbra,1940,411677,136228,330.9099123827661,,,
Coimbra,1950,432044,167396,387.4512781105628,22.87929060105118,4.947325208840914,17.931965392210266
Coimbra,1960,433596,190862,440.18395003643946,14.018256111257132,0.3592226717649138,13.65903343949222
Coimbra,1981,441001,144476,327.6092344461804,-24.30342341587115,1.7078109576656564,-26.01123437353681
Coimbra,1991,427839,157576,368.30676960258415,9.067249923862786,-2.9845737311253284,12.051823654988114
Coimbra,2001,441034,169338,383.9567924468408,7.464334670254358,3.084104067184157,4.380230603070201
Coimbra,2011,430261,190131,441.8968951403916,12.278992311235529,-2.442668819184013,14.72166113041954
Coimbra,2021,411510,188245,457.4493936963865,-0.9919476571416564,-4.358052437938831,3.3661047807971745
Faro,1940,317628,106059,333.90947901318526,,,
Faro,1950,325971,119101,365.37299330308525,12.296929067783037,2.6266575994559727,9.670271468327064
Faro,1960,312509,129189,413.39289428464457,8.47012199729642,-4.1298152289620855,12.599937226258506
Faro,1981,328605,114752,349.2095372864077,-11.175100047217644,5.1505716635360965,-16.325671710753742
Faro,1991,341404,139694,409.175053602184,21.735568878973787,3.894949863818265,17.84061901515552
Faro,2001,400937,160543,400.4195172807698,14.924764127306831,17.437698445243765,-2.5129343179369314
Faro,2011,452321,198924,439.785019930536,23.90699065047994,12.815978570199317,11.091012080280624
Faro,2021,469983,201078,427.8410070151474,1.082825601737336,3.904749060954504,-2.8219234592171683
Guarda,1940,294166,126707,430.7329874968555,,,
Guarda,1950,304368,157484,517.4131314724281,24.289897164323992,3.468109842741862,20.82178732158213
Guarda,1960,276470,167975,607.5704416392375,6.661629117878642,-9.165878147505646,15.827507265384288
Guarda,1981,205405,90500,440.5929748545556,-46.1229349605596,-25.704416392375308,-20.418518568184297
Guarda,1991,188165,103979,552.5947971195493,14.8939226519337,-8.393174460212748,23.287097112146448
Guarda,2001,178789,106594,596.1999899322665,2.5149308995085606,-4.982860787075172,7.497791686583732
Guarda,2011,161144,114153,708.3912525443083,7.091393511829924,-9.869175396696662,16.960568908526586
Guarda,2021,142868,114698,802.8249853011171,0.4774294149080704,-11.34140892617783,11.8188383410859
Leiria,1940,353675,108483,306.7307556372376,,,
Leiria,1950,389182,134355,345.22408538935514,23.848897984015927,10.039442991446943,13.809454992568982
Leiria,1960,400275,164442,410.8225594903504,22.39365859104612,2.850337374287615,19.543321216758503
Leiria,1981,418942,143939,343.5773925746285,-12.468225879033334,4.663543813628124,-17.131769692661457
Leiria,1991,426152,166770,391.3392404588034,15.861580252745956,1.721001952537593,14.140578300208364
Leiria,2001,461605,186191,403.3556828890502,11.645379864484015,8.319332069308594,3.3260477951754237
Leiria,2011,472053,214922,455.2920964383237,15.430928455188496,2.263407025487152,13.167521429701344
Leiria,2021,465169,215874,464.0764969290731,0.4429513963205345,-1.458310825267506,1.9012622215880404
Lisboa,1940,1070103,155320,145.14490661179343,,,
Lisboa,1950,1226815,199922,162.96018552104434,28.716198815348942,14.644571597313538,14.071627218035408
Lisboa,1960,1402586,238876,170.3111253071113,19.484598993607506,14.327425080391087,5.157173913216418
Lisboa,1981,2085861,266133,127.58903877103988,11.41052261424338,48.71537288979071,-37.30485027554733
Lisboa,1991,2048180,303854,148.35317208448475,14.173740197570384,-1.8064962142731456,15.98023641184353
Lisboa,2001,2148125,325251,151.41157986616236,7.0418687922489065,4.879698073411509,2.1621707188373973
Lisboa,2011,2245962,366073,162.99162675058614,12.550922210846394,4.554530113471045,7.99639209737535
Lisboa,2021,2287869,365844,159.90600860451363,-0.0625558290286321,1.8658819695079432,-1.9284377985365757
Madeira,1940,250124,52257,208.92437351073863,,,
